sequenceID,topHit,topHitRank,decisionClass,publicationBucket,markerProfile,exactMatchGate,ambiguityLcaGate,barcodeGapGate,diagnosticKmerGate,markerProfileGate,occurrenceCoreGate,dnaMetadataGate,assayGate,hardGateViolation,auditConclusion
ADV100-061-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-062-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-063-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-064-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-065-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-066-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-067-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-068-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-069-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-070-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-071-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-072-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-073-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-074-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-075-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-076-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-077-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-078-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-079-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-080-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-081-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-082-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-083-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-084-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-085-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-086-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-087-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-088-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-089-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-090-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-091-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-092-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-093-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-094-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-095-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-096-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-097-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-098-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-099-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-100-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
