sequenceID,segmentStart,segmentEnd,segmentLength,referenceID,taxon,rank,identityPercent,queryCoveragePercent,alignedLength,safeTaxon,safeRank,claimBoundary
ADV100-010-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-010-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-011-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-011-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-012-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-012-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-013-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-013-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-014-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-014-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-015-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-015-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-016-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-016-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-017-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-017-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-018-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-018-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-019-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-019-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-020-close_sibling_ambiguity,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.4,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-020-close_sibling_ambiguity,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,99.3,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-021-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-022-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-023-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-024-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-025-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-026-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-027-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-028-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-029-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-030-weak_coverage_short_fragment,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.5,72.0,658,Aedes albopictus,species,"Review-only molecular hint; identity, coverage or marker profile is too weak for a safe taxonomic claim."
ADV100-041-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-042-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-043-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-044-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-045-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-046-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-047-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-048-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-049-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-050-metadata_blocked_taxonomy_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-051-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-051-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-052-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-052-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-053-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-053-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-054-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-054-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-055-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-055-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-056-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-056-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-057-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-057-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-058-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-058-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-059-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-059-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-060-assay_control_failure,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-060-assay_control_failure,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-061-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-061-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-062-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-062-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-063-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-063-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-064-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-064-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-065-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-065-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-066-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-066-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-067-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-067-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-068-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-068-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-069-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-069-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-070-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-070-wrong_taxonomy_name_conflict,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-071-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-071-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-072-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-072-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-073-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-073-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-074-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-074-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-075-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-075-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-076-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-076-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-077-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-077-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-078-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-078-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-079-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-079-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-080-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-080-genome_segment_non_barcode_marker,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes,genus,Genus-level molecular evidence for Aedes; species-level naming is blocked for this sequence.
ADV100-081-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-081-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-082-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-082-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-083-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-083-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-084-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-084-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-085-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-085-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-086-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-086-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-087-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-087-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-088-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-088-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-089-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-089-negative_barcode_gap,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
ADV100-090-negative_barcode_gap,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Review-only candidate at species rank: Aedes albopictus.
