sequenceID,adversarialClass,expectedDecisionClass,actualDecisionClass,taxonomicStatus,publicationBucket,exportState,markerProfile,candidateTaxon,publishedTaxon,blockers,pass
ADV100-013-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-014-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-015-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-016-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-017-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-018-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-019-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-020-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-021-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-022-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-023-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-024-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-025-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-026-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-027-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-028-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-029-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-030-weak_coverage_short_fragment,weak_coverage_short_fragment,weak,weak,weak,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
ADV100-031-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-032-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-033-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-034-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-035-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-036-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-037-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-038-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-039-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-040-no_match_novel_lineage,no_match_novel_lineage,no-match,no-match,no-match,repair_required,review_only,coi_full_barcode,No match,None,no reference hit returned,True
ADV100-041-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-042-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-043-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-044-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-045-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-046-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-047-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-048-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-049-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-050-metadata_blocked_taxonomy_safe,metadata_blocked_taxonomy_safe,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
ADV100-051-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-052-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-053-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-054-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-055-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-056-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-057-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-058-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-059-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-060-assay_control_failure,assay_control_failure,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",True
ADV100-061-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-062-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-063-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-064-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-065-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-066-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-067-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-068-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-069-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-070-wrong_taxonomy_name_conflict,wrong_taxonomy_name_conflict,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,Aedes albopictus,None,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus),True
ADV100-071-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-072-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-073-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-074-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-075-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-076-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-077-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-078-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-079-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-080-genome_segment_non_barcode_marker,genome_segment_non_barcode_marker,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,custom_research,Aedes,Aedes,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export",True
ADV100-081-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-082-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-083-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-084-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-085-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-086-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-087-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-088-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-089-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-090-negative_barcode_gap,negative_barcode_gap,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: barcode gap fail,True
ADV100-091-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-092-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-093-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-094-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-095-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-096-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-097-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-098-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-099-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
ADV100-100-missing_diagnostic_kmer,missing_diagnostic_kmer,ambiguous,ambiguous,ambiguous,repair_required,review_only,coi_full_barcode,Aedes albopictus,None,species claim blocked: diagnostic k-mer support missing,True
