sequenceID,acceptedScientificName,taxonRank,decisionClass,profile_id,exportState,basis
ADV100-012-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-013-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-014-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-015-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-016-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-017-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-018-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-019-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-020-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-071-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-072-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-073-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-074-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-075-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-076-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-077-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-078-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-079-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-080-genome_segment_non_barcode_marker,Aedes,genus,genus-safe,custom_research,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
