occurrenceID,eventID,materialSampleID,basisOfRecord,scientificName,taxonRank,eventDate,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,occurrenceStatus,organismQuantity,organismQuantityType,verbatimIdentification,candidateTaxonRank,publicationStage,publicationBucket,identificationRemarks
urn:ecogenesis:adversarial:ADV100-001-true_species_safe_positive,event-ADV100-001-true_species_safe_positive,sample-ADV100-001-true_species_safe_positive,MaterialSample,Aedes albopictus,species,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-012-close_sibling_ambiguity,event-ADV100-012-close_sibling_ambiguity,sample-ADV100-012-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-013-close_sibling_ambiguity,event-ADV100-013-close_sibling_ambiguity,sample-ADV100-013-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-014-close_sibling_ambiguity,event-ADV100-014-close_sibling_ambiguity,sample-ADV100-014-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-015-close_sibling_ambiguity,event-ADV100-015-close_sibling_ambiguity,sample-ADV100-015-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-016-close_sibling_ambiguity,event-ADV100-016-close_sibling_ambiguity,sample-ADV100-016-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-017-close_sibling_ambiguity,event-ADV100-017-close_sibling_ambiguity,sample-ADV100-017-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-018-close_sibling_ambiguity,event-ADV100-018-close_sibling_ambiguity,sample-ADV100-018-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-019-close_sibling_ambiguity,event-ADV100-019-close_sibling_ambiguity,sample-ADV100-019-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-020-close_sibling_ambiguity,event-ADV100-020-close_sibling_ambiguity,sample-ADV100-020-close_sibling_ambiguity,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:adversarial:ADV100-021-weak_coverage_short_fragment,event-ADV100-021-weak_coverage_short_fragment,sample-ADV100-021-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-022-weak_coverage_short_fragment,event-ADV100-022-weak_coverage_short_fragment,sample-ADV100-022-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-023-weak_coverage_short_fragment,event-ADV100-023-weak_coverage_short_fragment,sample-ADV100-023-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-024-weak_coverage_short_fragment,event-ADV100-024-weak_coverage_short_fragment,sample-ADV100-024-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-025-weak_coverage_short_fragment,event-ADV100-025-weak_coverage_short_fragment,sample-ADV100-025-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-026-weak_coverage_short_fragment,event-ADV100-026-weak_coverage_short_fragment,sample-ADV100-026-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-027-weak_coverage_short_fragment,event-ADV100-027-weak_coverage_short_fragment,sample-ADV100-027-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-028-weak_coverage_short_fragment,event-ADV100-028-weak_coverage_short_fragment,sample-ADV100-028-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-029-weak_coverage_short_fragment,event-ADV100-029-weak_coverage_short_fragment,sample-ADV100-029-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-030-weak_coverage_short_fragment,event-ADV100-030-weak_coverage_short_fragment,sample-ADV100-030-weak_coverage_short_fragment,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-031-no_match_novel_lineage,event-ADV100-031-no_match_novel_lineage,sample-ADV100-031-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-032-no_match_novel_lineage,event-ADV100-032-no_match_novel_lineage,sample-ADV100-032-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-033-no_match_novel_lineage,event-ADV100-033-no_match_novel_lineage,sample-ADV100-033-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-034-no_match_novel_lineage,event-ADV100-034-no_match_novel_lineage,sample-ADV100-034-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-035-no_match_novel_lineage,event-ADV100-035-no_match_novel_lineage,sample-ADV100-035-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-036-no_match_novel_lineage,event-ADV100-036-no_match_novel_lineage,sample-ADV100-036-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-037-no_match_novel_lineage,event-ADV100-037-no_match_novel_lineage,sample-ADV100-037-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-038-no_match_novel_lineage,event-ADV100-038-no_match_novel_lineage,sample-ADV100-038-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-039-no_match_novel_lineage,event-ADV100-039-no_match_novel_lineage,sample-ADV100-039-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-040-no_match_novel_lineage,event-ADV100-040-no_match_novel_lineage,sample-ADV100-040-no_match_novel_lineage,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:adversarial:ADV100-041-metadata_blocked_taxonomy_safe,event-ADV100-041-metadata_blocked_taxonomy_safe,sample-ADV100-041-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-042-metadata_blocked_taxonomy_safe,event-ADV100-042-metadata_blocked_taxonomy_safe,sample-ADV100-042-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-043-metadata_blocked_taxonomy_safe,event-ADV100-043-metadata_blocked_taxonomy_safe,sample-ADV100-043-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-044-metadata_blocked_taxonomy_safe,event-ADV100-044-metadata_blocked_taxonomy_safe,sample-ADV100-044-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-045-metadata_blocked_taxonomy_safe,event-ADV100-045-metadata_blocked_taxonomy_safe,sample-ADV100-045-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-046-metadata_blocked_taxonomy_safe,event-ADV100-046-metadata_blocked_taxonomy_safe,sample-ADV100-046-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-047-metadata_blocked_taxonomy_safe,event-ADV100-047-metadata_blocked_taxonomy_safe,sample-ADV100-047-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-048-metadata_blocked_taxonomy_safe,event-ADV100-048-metadata_blocked_taxonomy_safe,sample-ADV100-048-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-049-metadata_blocked_taxonomy_safe,event-ADV100-049-metadata_blocked_taxonomy_safe,sample-ADV100-049-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-050-metadata_blocked_taxonomy_safe,event-ADV100-050-metadata_blocked_taxonomy_safe,sample-ADV100-050-metadata_blocked_taxonomy_safe,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-051-assay_control_failure,event-ADV100-051-assay_control_failure,sample-ADV100-051-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-052-assay_control_failure,event-ADV100-052-assay_control_failure,sample-ADV100-052-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-053-assay_control_failure,event-ADV100-053-assay_control_failure,sample-ADV100-053-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-054-assay_control_failure,event-ADV100-054-assay_control_failure,sample-ADV100-054-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-055-assay_control_failure,event-ADV100-055-assay_control_failure,sample-ADV100-055-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-056-assay_control_failure,event-ADV100-056-assay_control_failure,sample-ADV100-056-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-057-assay_control_failure,event-ADV100-057-assay_control_failure,sample-ADV100-057-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-058-assay_control_failure,event-ADV100-058-assay_control_failure,sample-ADV100-058-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:adversarial:ADV100-059-assay_control_failure,event-ADV100-059-assay_control_failure,sample-ADV100-059-assay_control_failure,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
