sequenceID,status,intraMaxDistance,interMinDistance,barcodeGap
ADV100-060-assay_control_failure,pass,0.009,0.018,0.009
ADV100-061-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-062-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-063-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-064-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-065-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-066-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-067-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-068-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-069-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-070-wrong_taxonomy_name_conflict,pass,0.009,0.018,0.009
ADV100-071-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-072-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-073-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-074-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-075-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-076-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-077-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-078-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-079-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-080-genome_segment_non_barcode_marker,pass,0.009,0.018,0.009
ADV100-081-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-082-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-083-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-084-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-085-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-086-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-087-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-088-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-089-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-090-negative_barcode_gap,fail,0.02,0.015,-0.005
ADV100-091-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-092-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-093-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-094-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-095-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-096-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-097-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-098-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-099-missing_diagnostic_kmer,pass,0.009,0.018,0.009
ADV100-100-missing_diagnostic_kmer,pass,0.009,0.018,0.009
