sequenceID,naiveClaim,naiveRank,compilerDecision,safeTaxon,safeRank,publishedTaxon,publishedRank,reason
ADV100-042-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-043-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-044-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-045-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-046-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-047-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-048-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-049-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-050-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-051-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-052-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-053-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-054-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-055-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-056-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-057-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-058-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-059-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-060-assay_control_failure,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-061-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-062-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-063-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-064-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-065-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-066-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-067-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-068-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-069-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-070-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-071-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-072-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-073-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-074-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-075-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-076-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-077-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-078-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-079-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-080-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,"marker profile blocked species claim: custom_research is configured for safe-rank review, not automatic species export"
ADV100-081-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-082-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-083-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-084-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-085-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-086-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-087-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-088-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-089-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-090-negative_barcode_gap,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: barcode gap fail
ADV100-091-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-092-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-093-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-094-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-095-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-096-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-097-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-098-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-099-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
ADV100-100-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,Aedes albopictus,species,None,none,species claim blocked: diagnostic k-mer support missing
