sequenceID,topHit,identity,queryCoverage,alignedLength,identityThreshold,coverageThreshold,minAlignedLength,identityPass,coveragePass,lengthPass,exactMatchGate
ADV100-077-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-078-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-079-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-080-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-081-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-082-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-083-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-084-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-085-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-086-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-087-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-088-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-089-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-090-negative_barcode_gap,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-091-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-092-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-093-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-094-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-095-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-096-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-097-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-098-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-099-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-100-missing_diagnostic_kmer,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
