sequenceID,highPriorityPass,missingFields,eventID,materialSampleID,target_gene,target_subfragment,pcr_primer_forward,pcr_primer_reverse,seq_meth,otu_class_appr,otu_seq_comp_appr,otu_db,sop
ADV100-011-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-011-close_sibling_ambiguity,sample-ADV100-011-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-012-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-012-close_sibling_ambiguity,sample-ADV100-012-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-013-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-013-close_sibling_ambiguity,sample-ADV100-013-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-014-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-014-close_sibling_ambiguity,sample-ADV100-014-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-015-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-015-close_sibling_ambiguity,sample-ADV100-015-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-016-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-016-close_sibling_ambiguity,sample-ADV100-016-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-017-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-017-close_sibling_ambiguity,sample-ADV100-017-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-018-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-018-close_sibling_ambiguity,sample-ADV100-018-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-019-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-019-close_sibling_ambiguity,sample-ADV100-019-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-020-close_sibling_ambiguity,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-020-close_sibling_ambiguity,sample-ADV100-020-close_sibling_ambiguity,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.4; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-021-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-021-weak_coverage_short_fragment,sample-ADV100-021-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-022-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-022-weak_coverage_short_fragment,sample-ADV100-022-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-023-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-023-weak_coverage_short_fragment,sample-ADV100-023-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-024-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-024-weak_coverage_short_fragment,sample-ADV100-024-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-025-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-025-weak_coverage_short_fragment,sample-ADV100-025-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-026-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-026-weak_coverage_short_fragment,sample-ADV100-026-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-027-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-027-weak_coverage_short_fragment,sample-ADV100-027-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-028-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-028-weak_coverage_short_fragment,sample-ADV100-028-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-029-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-029-weak_coverage_short_fragment,sample-ADV100-029-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-030-weak_coverage_short_fragment,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-030-weak_coverage_short_fragment,sample-ADV100-030-weak_coverage_short_fragment,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.5; queryCoverage=72.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-031-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-031-no_match_novel_lineage,sample-ADV100-031-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-032-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-032-no_match_novel_lineage,sample-ADV100-032-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-033-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-033-no_match_novel_lineage,sample-ADV100-033-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-034-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-034-no_match_novel_lineage,sample-ADV100-034-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-035-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-035-no_match_novel_lineage,sample-ADV100-035-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-036-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-036-no_match_novel_lineage,sample-ADV100-036-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-037-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-037-no_match_novel_lineage,sample-ADV100-037-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-038-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-038-no_match_novel_lineage,sample-ADV100-038-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-039-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-039-no_match_novel_lineage,sample-ADV100-039-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-040-no_match_novel_lineage,False,pcr_primer_forward; pcr_primer_reverse; seq_meth; otu_seq_comp_appr,event-ADV100-040-no_match_novel_lineage,sample-ADV100-040-no_match_novel_lineage,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates,,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible BLAST workflow with deterministic rank gates
ADV100-041-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-041-metadata_blocked_taxonomy_safe,sample-ADV100-041-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-042-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-042-metadata_blocked_taxonomy_safe,sample-ADV100-042-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-043-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-043-metadata_blocked_taxonomy_safe,sample-ADV100-043-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-044-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-044-metadata_blocked_taxonomy_safe,sample-ADV100-044-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-045-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-045-metadata_blocked_taxonomy_safe,sample-ADV100-045-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-046-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-046-metadata_blocked_taxonomy_safe,sample-ADV100-046-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-047-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-047-metadata_blocked_taxonomy_safe,sample-ADV100-047-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-048-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-048-metadata_blocked_taxonomy_safe,sample-ADV100-048-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-049-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-049-metadata_blocked_taxonomy_safe,sample-ADV100-049-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-050-metadata_blocked_taxonomy_safe,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-050-metadata_blocked_taxonomy_safe,sample-ADV100-050-metadata_blocked_taxonomy_safe,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-051-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-051-assay_control_failure,sample-ADV100-051-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-052-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-052-assay_control_failure,sample-ADV100-052-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-053-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-053-assay_control_failure,sample-ADV100-053-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-054-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-054-assay_control_failure,sample-ADV100-054-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-055-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-055-assay_control_failure,sample-ADV100-055-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-056-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-056-assay_control_failure,sample-ADV100-056-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-057-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-057-assay_control_failure,sample-ADV100-057-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-058-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-058-assay_control_failure,sample-ADV100-058-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
