occurrenceID,eventID,materialSampleID,basisOfRecord,scientificName,taxonRank,eventDate,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,occurrenceStatus,organismQuantity,organismQuantityType,verbatimIdentification,candidateTaxonRank,publicationStage,publicationBucket,identificationRemarks
urn:ecogenesis:demo:ADV100-001-true_species_safe_positive,competition-event-01,competition-sample-001,MaterialSample,Aedes albopictus,species,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-014-close_sibling_ambiguity,competition-event-02,competition-sample-014,MaterialSample,Aedes,genus,2026-06-14,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-015-close_sibling_ambiguity,competition-event-02,competition-sample-015,MaterialSample,Aedes,genus,2026-06-15,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-016-close_sibling_ambiguity,competition-event-02,competition-sample-016,MaterialSample,Aedes,genus,2026-06-16,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-017-close_sibling_ambiguity,competition-event-02,competition-sample-017,MaterialSample,Aedes,genus,2026-06-17,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-018-close_sibling_ambiguity,competition-event-02,competition-sample-018,MaterialSample,Aedes,genus,2026-06-18,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-019-close_sibling_ambiguity,competition-event-02,competition-sample-019,MaterialSample,Aedes,genus,2026-06-19,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-020-close_sibling_ambiguity,competition-event-02,competition-sample-020,MaterialSample,Aedes,genus,2026-06-20,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:ADV100-021-weak_coverage_short_fragment,competition-event-03,competition-sample-021,MaterialSample,,,2026-06-21,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-022-weak_coverage_short_fragment,competition-event-03,competition-sample-022,MaterialSample,,,2026-06-22,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-023-weak_coverage_short_fragment,competition-event-03,competition-sample-023,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-024-weak_coverage_short_fragment,competition-event-03,competition-sample-024,MaterialSample,,,2026-06-24,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-025-weak_coverage_short_fragment,competition-event-03,competition-sample-025,MaterialSample,,,2026-06-25,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-026-weak_coverage_short_fragment,competition-event-03,competition-sample-026,MaterialSample,,,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-027-weak_coverage_short_fragment,competition-event-03,competition-sample-027,MaterialSample,,,2026-06-27,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-028-weak_coverage_short_fragment,competition-event-03,competition-sample-028,MaterialSample,,,2026-06-28,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-029-weak_coverage_short_fragment,competition-event-03,competition-sample-029,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-030-weak_coverage_short_fragment,competition-event-03,competition-sample-030,MaterialSample,,,2026-06-02,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-031-no_match_novel_lineage,competition-event-04,competition-sample-031,MaterialSample,,,2026-06-03,US,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-032-no_match_novel_lineage,competition-event-04,competition-sample-032,MaterialSample,,,2026-06-04,ES,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-033-no_match_novel_lineage,competition-event-04,competition-sample-033,MaterialSample,,,2026-06-05,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-034-no_match_novel_lineage,competition-event-04,competition-sample-034,MaterialSample,,,2026-06-06,FR,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-035-no_match_novel_lineage,competition-event-04,competition-sample-035,MaterialSample,,,2026-06-07,US,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-036-no_match_novel_lineage,competition-event-04,competition-sample-036,MaterialSample,,,2026-06-08,ES,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-037-no_match_novel_lineage,competition-event-04,competition-sample-037,MaterialSample,,,2026-06-09,IT,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-038-no_match_novel_lineage,competition-event-04,competition-sample-038,MaterialSample,,,2026-06-10,FR,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-039-no_match_novel_lineage,competition-event-04,competition-sample-039,MaterialSample,,,2026-06-11,US,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:ADV100-040-no_match_novel_lineage,competition-event-04,competition-sample-040,MaterialSample,,,2026-06-12,ES,40.4168,-3.7038,WGS84,50,,,,No match,none,record_recommended_ready,repair_required,no-match by barcode-gbif-compiler-v2; match=no_match; top=None identity=None coverage=None; candidate rank=none; published rank=none; publication stage=record_recommended_ready; export state=review_only.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
,,,MaterialSample,,,,ES,,,,,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-051-assay_control_failure,competition-event-06,competition-sample-051,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-052-assay_control_failure,competition-event-06,competition-sample-052,MaterialSample,,,2026-06-24,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-053-assay_control_failure,competition-event-06,competition-sample-053,MaterialSample,,,2026-06-25,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-054-assay_control_failure,competition-event-06,competition-sample-054,MaterialSample,,,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-055-assay_control_failure,competition-event-06,competition-sample-055,MaterialSample,,,2026-06-27,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-056-assay_control_failure,competition-event-06,competition-sample-056,MaterialSample,,,2026-06-28,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-057-assay_control_failure,competition-event-06,competition-sample-057,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-058-assay_control_failure,competition-event-06,competition-sample-058,MaterialSample,,,2026-06-02,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-059-assay_control_failure,competition-event-06,competition-sample-059,MaterialSample,,,2026-06-03,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-060-assay_control_failure,competition-event-06,competition-sample-060,MaterialSample,,,2026-06-04,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-061-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-061,MaterialSample,,,2026-06-05,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-062-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-062,MaterialSample,,,2026-06-06,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-063-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-063,MaterialSample,,,2026-06-07,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-064-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-064,MaterialSample,,,2026-06-08,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-065-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-065,MaterialSample,,,2026-06-09,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-066-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-066,MaterialSample,,,2026-06-10,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-067-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-067,MaterialSample,,,2026-06-11,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-068-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-068,MaterialSample,,,2026-06-12,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-069-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-069,MaterialSample,,,2026-06-13,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
urn:ecogenesis:demo:ADV100-070-wrong_taxonomy_name_conflict,competition-event-07,competition-sample-070,MaterialSample,,,2026-06-14,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_not_ready,repair_required,not-publishable by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=none; publication stage=record_not_ready; export state=evidence_publishable_repair_required.
