sequenceID,assayType,assayLabel,assayGatePass,publicationBlocking,requiredMissing,recommendedMissing,assayBlockers,claimCaveat
ADV100-016-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-017-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-018-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-019-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-020-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-021-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-022-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-023-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-024-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-025-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-026-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-027-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-028-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-029-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-030-weak_coverage_short_fragment,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-031-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-032-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-033-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-034-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-035-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-036-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-037-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-038-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-039-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-040-no_match_novel_lineage,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-041-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-042-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-043-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-044-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-045-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-046-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-047-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-048-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-049-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-050-metadata_blocked_taxonomy_safe,single_specimen_barcode,Single-specimen barcode,True,False,,eventID; materialSampleID; pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-051-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-052-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-053-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-054-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-055-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-056-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-057-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-058-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-059-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-060-assay_control_failure,qpcr_ddpcr,Targeted qPCR / ddPCR detection,False,True,occurrenceStatus; contaminationAssessment,experimentalVariance; quantificationCycle; estimatedNumberOfCopies; pcr_primer_forward; pcr_primer_reverse,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr",Targeted detections require explicit occurrenceStatus and contamination/control evidence.
ADV100-061-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-062-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-063-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-064-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-065-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-066-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-067-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-068-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-069-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-070-wrong_taxonomy_name_conflict,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-071-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-072-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-073-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-074-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-075-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-076-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-077-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-078-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-079-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-080-genome_segment_non_barcode_marker,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-081-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-082-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-083-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-084-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-085-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-086-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-087-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-088-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-089-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-090-negative_barcode_gap,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-091-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-092-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-093-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-094-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-095-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-096-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-097-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-098-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-099-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-100-missing_diagnostic_kmer,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
