sequenceID,taxon,rank,gbifTaxonKey,identity,queryCoverage,referenceDatabase,referenceID
ADV100-073-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-074-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-074-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-075-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-075-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-076-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-076-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-077-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-077-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-078-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-078-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-079-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-079-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-080-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-080-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-081-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-081-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-082-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-082-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-083-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-083-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-084-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-084-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-085-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-085-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-086-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-086-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-087-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-087-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-088-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-088-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-089-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-089-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-090-negative_barcode_gap,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-090-negative_barcode_gap,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-091-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-091-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-092-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-092-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-093-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-093-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-094-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-094-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-095-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-095-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-096-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-096-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-097-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-097-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-098-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-098-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-099-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-099-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-100-missing_diagnostic_kmer,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-100-missing_diagnostic_kmer,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
