sequenceID,status,intraMaxDistance,interMinDistance,barcodeGap
COMP100-059-weak_coverage,pass,0.009,0.018,0.009
COMP100-060-weak_coverage,pass,0.009,0.018,0.009
COMP100-061-weak_coverage,pass,0.009,0.018,0.009
COMP100-062-weak_coverage,pass,0.009,0.018,0.009
COMP100-063-weak_coverage,pass,0.009,0.018,0.009
COMP100-064-weak_coverage,pass,0.009,0.018,0.009
COMP100-065-weak_coverage,pass,0.009,0.018,0.009
COMP100-066-weak_coverage,pass,0.009,0.018,0.009
COMP100-067-weak_coverage,pass,0.009,0.018,0.009
COMP100-068-weak_coverage,pass,0.009,0.018,0.009
COMP100-069-weak_coverage,pass,0.009,0.018,0.009
COMP100-070-weak_coverage,pass,0.009,0.018,0.009
COMP100-071-weak_coverage,pass,0.009,0.018,0.009
COMP100-072-weak_coverage,pass,0.009,0.018,0.009
COMP100-073-weak_coverage,pass,0.009,0.018,0.009
COMP100-074-weak_coverage,pass,0.009,0.018,0.009
COMP100-075-weak_coverage,pass,0.009,0.018,0.009
COMP100-076-metadata_blocked,pass,0.009,0.018,0.009
COMP100-077-metadata_blocked,pass,0.009,0.018,0.009
COMP100-078-metadata_blocked,pass,0.009,0.018,0.009
COMP100-079-metadata_blocked,pass,0.009,0.018,0.009
COMP100-080-metadata_blocked,pass,0.009,0.018,0.009
COMP100-081-metadata_blocked,pass,0.009,0.018,0.009
COMP100-082-metadata_blocked,pass,0.009,0.018,0.009
COMP100-083-metadata_blocked,pass,0.009,0.018,0.009
COMP100-084-metadata_blocked,pass,0.009,0.018,0.009
COMP100-085-metadata_blocked,pass,0.009,0.018,0.009
COMP100-086-metadata_blocked,pass,0.009,0.018,0.009
COMP100-087-metadata_blocked,pass,0.009,0.018,0.009
COMP100-088-metadata_blocked,pass,0.009,0.018,0.009
COMP100-089-metadata_blocked,pass,0.009,0.018,0.009
COMP100-090-metadata_blocked,pass,0.009,0.018,0.009
COMP100-091-metadata_blocked,pass,0.009,0.018,0.009
COMP100-092-metadata_blocked,pass,0.009,0.018,0.009
COMP100-093-metadata_blocked,pass,0.009,0.018,0.009
COMP100-094-metadata_blocked,pass,0.009,0.018,0.009
COMP100-095-metadata_blocked,pass,0.009,0.018,0.009
COMP100-096-metadata_blocked,pass,0.009,0.018,0.009
COMP100-097-metadata_blocked,pass,0.009,0.018,0.009
COMP100-098-metadata_blocked,pass,0.009,0.018,0.009
COMP100-099-metadata_blocked,pass,0.009,0.018,0.009
COMP100-100-metadata_blocked,pass,0.009,0.018,0.009
