sequenceID,taxon,rank,gbifTaxonKey,identity,queryCoverage,referenceDatabase,referenceID
COMP100-023-species_safe,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-024-species_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-024-species_safe,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-025-species_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-025-species_safe,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-026-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-026-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-027-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-027-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-028-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-028-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-029-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-029-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-030-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-030-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-031-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-031-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-032-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-032-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-033-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-033-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-034-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-034-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-035-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-035-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-036-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-036-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-037-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-037-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-038-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-038-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-039-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-039-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-040-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-040-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-041-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-041-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-042-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-042-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-043-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-043-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-044-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-044-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-045-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-045-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-046-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-046-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-047-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-047-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-048-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-048-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-049-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-049-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-050-genus_safe_ambiguous,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-050-genus_safe_ambiguous,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
COMP100-051-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-052-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-053-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-054-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-055-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-056-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-057-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-058-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-059-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-060-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-061-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-062-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-063-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-064-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-065-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-066-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-067-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-068-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-069-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-070-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-071-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-072-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-073-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-074-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-075-weak_coverage,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-076-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-077-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-078-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-079-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-080-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-081-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-082-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-083-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-084-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-085-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-086-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-087-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-088-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-089-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-090-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-091-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-092-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-093-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-094-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-095-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-096-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-097-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-098-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-099-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
COMP100-100-metadata_blocked,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
