sequenceID,topHit,identity,queryCoverage,alignedLength,identityThreshold,coverageThreshold,minAlignedLength,identityPass,coveragePass,lengthPass,exactMatchGate
COMP100-036-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-037-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-038-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-039-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-040-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-041-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-042-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-043-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-044-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-045-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-046-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-047-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-048-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-049-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-050-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-051-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-052-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-053-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-054-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-055-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-056-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-057-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-058-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-059-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-060-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-061-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-062-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-063-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-064-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-065-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-066-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-067-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-068-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-069-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-070-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-071-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-072-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-073-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-074-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-075-weak_coverage,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
COMP100-076-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-077-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-078-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-079-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-080-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-081-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-082-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-083-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-084-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-085-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-086-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-087-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-088-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-089-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-090-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-091-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-092-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-093-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-094-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-095-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-096-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-097-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-098-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-099-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-100-metadata_blocked,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
