sequenceID,expectedDecisionClass,actualDecisionClass,taxonomicStatus,publicationBucket,exportState,markerProfile,referenceCompletenessStatus,candidateTaxon,publishedTaxon,blockers,pass
COMP100-016-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-017-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-018-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-019-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-020-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-021-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-022-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-023-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-024-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-025-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-026-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-027-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-028-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-029-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-030-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-031-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-032-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-033-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-034-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-035-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-036-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-037-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-038-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-039-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-040-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-041-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-042-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-043-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-044-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-045-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-046-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-047-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-048-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-049-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-050-genus_safe_ambiguous,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
COMP100-051-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-052-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-053-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-054-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-055-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-056-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-057-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-058-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-059-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-060-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-061-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-062-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-063-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-064-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-065-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-066-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-067-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-068-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-069-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-070-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-071-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-072-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-073-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-074-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-075-weak_coverage,weak,weak,weak,repair_required,review_only,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%,True
COMP100-076-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-077-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-078-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-079-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-080-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-081-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-082-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-083-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-084-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-085-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-086-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-087-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-088-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-089-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-090-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-091-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-092-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-093-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-094-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-095-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-096-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-097-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-098-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-099-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
COMP100-100-metadata_blocked,not-publishable,not-publishable,species-safe,repair_required,evidence_publishable_repair_required,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,None,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate,True
