sequenceID,decisionClass,taxonomicStatus,publicationStatus,publicationStage,publicationBucket,exportState,referenceCompletenessStatus,markerProfile,assayType,candidateTaxon,candidateRank,publishedTaxon,publishedRank,matchType,topHit,identity,queryCoverage,barcodeGap,diagnosticKmerSupport,diagnosticPFalsePositive,blockers
COMP100-015-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-016-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-017-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-018-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-019-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-020-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-021-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-022-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-023-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-024-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-025-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-026-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-027-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-028-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-029-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-030-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-031-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-032-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-033-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-034-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-035-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-036-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-037-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-038-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-039-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-040-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-041-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-042-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-043-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-044-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-045-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-046-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-047-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-048-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-049-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-050-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes,genus,Aedes,genus,exact,Aedes albopictus,99.4,96.0,0.009,3,1.7e-06,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-051-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-052-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-053-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-054-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-055-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-056-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-057-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-058-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-059-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-060-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-061-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-062-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-063-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-064-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-065-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-066-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-067-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-068-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-069-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-070-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-071-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-072-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-073-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-074-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-075-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,weak,Aedes albopictus,99.5,72.0,0.009,3,1.7e-06,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-076-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-077-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-078-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-079-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-080-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-081-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
