sequenceID,naiveClaim,naiveRank,compilerDecision,safeTaxon,safeRank,publishedTaxon,publishedRank,reason
COMP100-076-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-077-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-078-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-079-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-080-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-081-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-082-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-083-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-084-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-085-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-086-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-087-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-088-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-089-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-090-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-091-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-092-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-093-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-094-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-095-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-096-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-097-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-098-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-099-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-100-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
