objectType,objectID,graphType,provenanceHashPresent,rulesetVersionPresent,missingFields,status
node,hit:COMP100-006-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-006-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-007-species_safe,sequence,True,True,,pass
node,assignment:COMP100-007-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-007-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-007-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-007-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-008-species_safe,sequence,True,True,,pass
node,assignment:COMP100-008-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-008-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-008-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-008-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-009-species_safe,sequence,True,True,,pass
node,assignment:COMP100-009-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-009-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-009-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-009-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-010-species_safe,sequence,True,True,,pass
node,assignment:COMP100-010-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-010-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-010-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-010-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-011-species_safe,sequence,True,True,,pass
node,assignment:COMP100-011-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-011-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-011-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-011-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-012-species_safe,sequence,True,True,,pass
node,assignment:COMP100-012-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-012-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-012-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-012-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-013-species_safe,sequence,True,True,,pass
node,assignment:COMP100-013-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-013-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-013-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-013-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-014-species_safe,sequence,True,True,,pass
node,assignment:COMP100-014-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-014-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-014-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-014-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-015-species_safe,sequence,True,True,,pass
node,assignment:COMP100-015-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-015-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-015-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-015-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-016-species_safe,sequence,True,True,,pass
node,assignment:COMP100-016-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-016-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-016-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-016-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-017-species_safe,sequence,True,True,,pass
node,assignment:COMP100-017-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-017-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-017-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-017-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-018-species_safe,sequence,True,True,,pass
node,assignment:COMP100-018-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-018-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-018-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-018-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-019-species_safe,sequence,True,True,,pass
node,assignment:COMP100-019-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-019-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-019-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-019-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-020-species_safe,sequence,True,True,,pass
node,assignment:COMP100-020-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-020-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-020-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-020-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-021-species_safe,sequence,True,True,,pass
node,assignment:COMP100-021-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-021-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-021-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-021-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-022-species_safe,sequence,True,True,,pass
node,assignment:COMP100-022-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-022-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-022-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-022-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-023-species_safe,sequence,True,True,,pass
node,assignment:COMP100-023-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-023-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-023-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-023-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-024-species_safe,sequence,True,True,,pass
node,assignment:COMP100-024-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-024-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-024-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-024-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-025-species_safe,sequence,True,True,,pass
node,assignment:COMP100-025-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-025-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-025-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-025-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-026-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-026-genus_safe_ambiguous,assignment,True,True,,pass
node,taxon:genus:Aedes,taxon,True,True,,pass
node,claim_boundary:COMP100-026-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,blocker:8c7ec566665a,blocker,True,True,,pass
node,hit:COMP100-026-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-026-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-027-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-027-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-027-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-027-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-027-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-028-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-028-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-028-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-028-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-028-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-029-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-029-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-029-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-029-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-029-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-030-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-030-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-030-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-030-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-030-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-031-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-031-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-031-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-031-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-031-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-032-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-032-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-032-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-032-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-032-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-033-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-033-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-033-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-033-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-033-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-034-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-034-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-034-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-034-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-034-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-035-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-035-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-035-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-035-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-035-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-036-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-036-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-036-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-036-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-036-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-037-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-037-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-037-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-037-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-037-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-038-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-038-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-038-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-038-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-038-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-039-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-039-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-039-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-039-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-039-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-040-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-040-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-040-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-040-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-040-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-041-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-041-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-041-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-041-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-041-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-042-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-042-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-042-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-042-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-042-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-043-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-043-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-043-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-043-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-043-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-044-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-044-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-044-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-044-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-044-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-045-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-045-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-045-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-045-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-045-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-046-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-046-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-046-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-046-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-046-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-047-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-047-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-047-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-047-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-047-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-048-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-048-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-048-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-048-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-048-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-049-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-049-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-049-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-049-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-049-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-050-genus_safe_ambiguous,sequence,True,True,,pass
node,assignment:COMP100-050-genus_safe_ambiguous,assignment,True,True,,pass
node,claim_boundary:COMP100-050-genus_safe_ambiguous,claim_boundary,True,True,,pass
node,hit:COMP100-050-genus_safe_ambiguous:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-050-genus_safe_ambiguous:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-051-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-051-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-051-weak_coverage,claim_boundary,True,True,,pass
node,blocker:54c10229b6d4,blocker,True,True,,pass
node,blocker:4b566aab621e,blocker,True,True,,pass
node,hit:COMP100-051-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-052-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-052-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-052-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-052-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-053-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-053-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-053-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-053-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-054-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-054-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-054-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-054-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-055-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-055-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-055-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-055-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-056-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-056-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-056-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-056-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-057-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-057-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-057-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-057-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-058-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-058-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-058-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-058-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-059-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-059-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-059-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-059-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-060-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-060-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-060-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-060-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-061-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-061-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-061-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-061-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-062-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-062-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-062-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-062-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-063-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-063-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-063-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-063-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-064-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-064-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-064-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-064-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-065-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-065-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-065-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-065-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-066-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-066-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-066-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-066-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-067-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-067-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-067-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-067-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-068-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-068-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-068-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-068-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-069-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-069-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-069-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-069-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-070-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-070-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-070-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-070-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-071-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-071-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-071-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-071-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-072-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-072-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-072-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-072-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-073-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-073-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-073-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-073-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-074-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-074-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-074-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-074-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:COMP100-075-weak_coverage,sequence,True,True,,pass
node,assignment:COMP100-075-weak_coverage,assignment,True,True,,pass
node,claim_boundary:COMP100-075-weak_coverage,claim_boundary,True,True,,pass
node,hit:COMP100-075-weak_coverage:BOLD:Aedes_albopictus,hit,True,True,,pass
