sequenceID,topHit,topHitRank,decisionClass,publicationBucket,markerProfile,exactMatchGate,ambiguityLcaGate,barcodeGapGate,diagnosticKmerGate,markerProfileGate,occurrenceCoreGate,dnaMetadataGate,assayGate,hardGateViolation,auditConclusion
COMP100-016-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-017-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-018-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-019-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-020-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-021-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-022-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-023-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-024-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-025-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-026-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-027-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-028-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-029-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-030-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-031-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-032-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-033-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-034-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-035-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-036-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-037-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-038-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-039-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-040-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-041-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-042-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-043-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-044-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-045-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-046-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-047-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-048-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-049-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-050-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-051-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-052-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-053-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-054-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-055-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-056-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-057-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-058-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-059-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-060-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-061-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-062-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-063-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-064-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-065-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-066-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-067-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-068-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-069-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-070-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-071-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-072-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-073-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-074-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-075-weak_coverage,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-076-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-077-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-078-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-079-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-080-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-081-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-082-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-083-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-084-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-085-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-086-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-087-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-088-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-089-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-090-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-091-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-092-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-093-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-094-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-095-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-096-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-097-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-098-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-099-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
COMP100-100-metadata_blocked,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
